Branch,Store_Name,Dec,Nov,Oct,Sep,Aug
Delhi_Ncr,Delhi(Uttam Nagar) Br,29%,38%,22%,11%,23%
Mumbai,Goregaon (E) Br,11%,16%,10%,25%,7%
Gujarat,Ahmedabad(Ashram Rd) Br,16%,6%,10%,23%,13%
Telangana,Ts(Boduppal),22%,24%,11%,4%,10%
Thane,Nallasopara Br,25%,8%,2%,5%,3%
Delhi_Ncr,Delhi(Budh Vihar),45%,44%,45%,42%,19%
Telangana,Ts(Karmanghat),10%,18%,16%,8%,11%
Delhi_Ncr,Delhi(Nangloi),0%,31%,24%,37%,30%
Telangana,Ts(Kompally),25%,24%,11%,15%,2%
Thane,Currey Road,0%,0%,0%,0%,0%
Gujarat,Surat(Mota Varachha),23%,15%,14%,0%,9%
Mumbai,Chembur Br,6%,16%,11%,17%,7%
Gujarat,Ahmedabad(Krishna Nagar) Br,23%,7%,3%,28%,4%
Telangana,Ts(Attapur),29%,13%,2%,11%,3%
Delhi_Ncr,Delhi(Pitampura) Br,15%,28%,19%,17%,20%
Delhi_Ncr,Delhi(Narela),75%,29%,43%,0%,32%
Gujarat,Surat(Rander Rd) Br,30%,14%,17%,21%,23%
Delhi_Ncr,Delhi(Nawada),5%,20%,17%,33%,7%
Telangana,Ts(Tolichowki- Aditya Ngr),31%,17%,11%,9%,21%
Telangana,Ts(Paradise Circle),15%,22%,11%,20%,18%
Telangana,Ts(Shah Ali Banda),18%,14%,11%,17%,4%
Gujarat,Ahmedabad(Shahi Baug) Br,32%,11%,10%,18%,2%
Telangana,Ts(Mehdipatnam),33%,32%,0%,0%,7%
Gujarat,Surat Br,20%,15%,16%,6%,5%
Telangana,Ts(Sun City),20%,36%,18%,8%,0%
Gujarat,Gandhinagar(Sargasan),20%,2%,1%,0%,3%
Gujarat,Ahmedabad(Chandkheda Rd) Br,7%,13%,11%,5%,17%
Telangana,Ts(Nagole),13%,16%,10%,11%,8%
Telangana,Ts(Kukatpally),38%,13%,4%,0%,0%
Delhi_Ncr,Delhi(Burari),33%,48%,28%,30%,28%
Mumbai,Malad,27%,14%,13%,11%,10%
Telangana,Ts(Nacharam),29%,21%,7%,0%,14%
Thane,Mumbra(Kausa),17%,11%,5%,0%,6%
Gujarat,Surat(Parvat Patiya),20%,18%,23%,23%,6%
Telangana,Ts(R C Puram),7%,18%,10%,8%,17%
Telangana,Ts(Kompally- Golden Plaza),13%,32%,14%,10%,0%
Mumbai,Ghatkopar(Lbs Marg) Br,9%,12%,6%,0%,10%
Delhi_Ncr,Delhi(Durgapuri),13%,38%,34%,25%,29%
Telangana,Ts(Chandrayangutta),18%,12%,6%,10%,4%
Delhi_Ncr,Haryana(Sec-65 Ext Gurugram),30%,27%,19%,15%,26%
Delhi_Ncr,Haryana(M G Road) Br,100%,7%,16%,0%,3%
Delhi_Ncr,Delhi(Saket) Br,4%,17%,17%,21%,1%
Thane,Kharghar(Patel Heritage),15%,20%,3%,15%,5%
Gujarat,Surat(Vip Road-Vesu),0%,12%,14%,13%,5%
Delhi_Ncr,Up(Gaur Chowk),6%,5%,10%,17%,17%
Telangana,Ts(Mailardevpally),29%,31%,4%,14%,4%
Mumbai,Sion Br,13%,22%,20%,38%,23%
Telangana,Ts(Hastinapur),15%,24%,17%,10%,16%
Delhi_Ncr,DELHI(KRISHNA NAGAR),0%,35%,25%,25%,0%
Mumbai,Ghatkopar Br,14%,23%,19%,19%,4%
Thane,Kalyan(Khadakpada),11%,22%,26%,15%,17%
Thane,Thane Br,3%,15%,25%,41%,14%
Telangana,Ap(Tirupathi-M.R.Pally),17%,9%,13%,17%,7%
Delhi_Ncr,Haryana(Dundahera),10%,10%,17%,20%,11%
Thane,Badlapur,0%,17%,19%,36%,14%
Delhi_Ncr,DELHI(ASHOK VIHAR),17%,15%,0%,0%,0%
Delhi_Ncr,Delhi(Najafgarh),0%,3%,6%,17%,20%
Telangana,Ts(A.S.Rao Nagar),8%,19%,17%,15%,0%
Telangana,Ts(Malakpet),14%,19%,6%,5%,3%
Gujarat,Ahmedabad(Vishala) Br,9%,12%,16%,17%,8%
Telangana,Ts(Chintalkunta),14%,9%,7%,20%,4%
Telangana,Ap(Rajahmundry-Jln Road),14%,5%,8%,17%,0%
Telangana,Ts(Punjagutta),20%,18%,5%,13%,6%
Telangana,Ap(Vijayawada),0%,24%,15%,0%,0%
Delhi_Ncr,Haryana(Palam Vihar Rd),7%,15%,12%,6%,0%
Telangana,Ap(Kakinada),20%,10%,5%,0%,0%
Telangana,Ts(Wrg-Pochamma Maidan),14%,3%,4%,0%,0%
Mumbai,Mahim Br,0%,40%,15%,26%,10%
Delhi_Ncr,DELHI(ROHINI Sector-16),0%,28%,7%,0%,0%
Mumbai,Infiniti Br,0%,19%,12%,9%,13%
Pune,Pune(Tilak Rd)Br,0%,29%,14%,8%,2%
Telangana,Ts(Madinaguda),0%,20%,17%,7%,12%
Gujarat,Ahmedabad(Rakhial) Br,0%,23%,11%,33%,0%
Telangana,Ts(Nagaram),0%,25%,12%,10%,17%
Telangana,Ts(Hayathnagar),0%,11%,7%,0%,7%
Thane,Ulhasnagar Br,0%,3%,8%,0%,0%
Gujarat,Ahmedabad(R3Mall) Br,0%,9%,21%,0%,13%
Mumbai,Boisar Br,0%,0%,10%,0%,0%
Telangana,Ap(Vizag),0%,0%,0%,17%,0%
Telangana,Ap(Ntr Circle),0%,0%,0%,0%,0%
Gujarat,Vadodara(Kareli Baug),20%,8%,16%,12%,3%
Gujarat,Vadodara(Alkapuri) Br,18%,13%,8%,13%,12%
Gujarat,Vadodara(Manjalpur) Br,25%,12%,15%,0%,1%
Thane,Kharghar Br,0%,0%,0%,0%,0%
Telangana,Ap(Tirupathi-Leela Mahal Circle),0%,0%,0%,0%,0%
Telangana,Ap(Rajamundry),0%,0%,0%,0%,0%
Gujarat,Vadodara(Kothi Road),0%,0%,0%,0%,0%
